Country|Date|Agency|Rating|Outlook
United States|4/22/2014|DBRS|AAA|Stable
United States|3/21/2014|Fitch|AAA|Stable
United States|10/15/2013|Fitch|AAA|Negative Watch
United States|10/9/2013|DBRS|AAA|Under Review
United States|7/18/2013|Moody's|Aaa|Stable
United States|6/10/2013|S&P|AA+|Stable
United States|11/28/2011|Fitch|AAA|Negative
United States|9/8/2011|DBRS|AAA|Stable
United States|8/5/2011|S&P|AA+|Negative
United States|8/2/2011|Moody's|Aaa|Negative
United States|7/14/2011|S&P|AAA|Negative Watch
United States|7/13/2011|Moody's|Aaa|Negative Watch
United States|4/18/2011|S&P|AAA|Negative
United States|9/21/2000|Fitch|AAA|Stable
United States|4/1/1996|Fitch|AAA|N/A
United States|11/13/1995|Fitch|AAA|Negative Watch
United States|8/10/1994|Fitch|AAA|N/A
United States|2/5/1949|Moody's|Aaa|Stable
