CalendarId|Date|Country|Category|Event|Reference|ReferenceDate|Source|SourceURL|Actual|Previous|Forecast|TEForecast|URL|DateSpan|Importance|LastUpdate|Revised|Currency|Unit|Ticker|Symbol
144392|2017-12-25T23:30:00|Japan|Unemployment Rate|Unemployment Rate|Nov|2017-11-30T00:00:00|Ministry of Internal Affairs & Communications|https://www.stat.go.jp|2.7%|2.8%|2.8%|2.8%|/japan/unemployment-rate|0|2|2017-12-25T23:30:00|||%|JNUE|JNUE
143929|2017-12-17T23:50:00|Japan|Balance of Trade|Balance of Trade|Nov|2017-11-30T00:00:00|Ministry of Finance, Japan|https://www.mof.go.jp/english/index.htm|¥113B|¥285B|¥-55B|¥-35B|/japan/balance-of-trade|0|3|2017-12-18T00:39:00||¥|B|JNTBAL|JNTBAL
143322|2017-12-08T03:00:00|China|Balance of Trade|Balance of Trade|Nov|2017-11-30T00:00:00|General Administration of Customs|http://www.customs.gov.cn/|$40.21B|$38.19B|$35.00B|$40B|/china/balance-of-trade|0|2|2017-12-08T03:34:00|$38.2B|$|B|CNFRBALD|CNFRBALD
142579|2017-11-30T23:30:00|Japan|Unemployment Rate|Unemployment Rate|Oct|2017-10-31T00:00:00|Ministry of Internal Affairs & Communications|https://www.stat.go.jp|2.8%|2.8%|2.8%|2.8%|/japan/unemployment-rate|0|2|2017-11-30T23:30:00|||%|JNUE|JNUE
142202|2017-11-19T23:50:00|Japan|Balance of Trade|Balance of Trade|Oct|2017-10-31T00:00:00|Ministry of Finance, Japan|https://www.mof.go.jp/english/index.htm|¥285.4B|¥668B|¥330B|¥450B|/japan/balance-of-trade|0|3|2017-11-19T23:54:00|¥-670.17B|¥|B|JNTBAL|JNTBAL
141494|2017-11-08T03:00:00|China|Balance of Trade|Balance of Trade|Oct|2017-10-31T00:00:00|General Administration of Customs|http://www.customs.gov.cn/|$38.2B|$28.61B|$39.50B|$39B|/china/balance-of-trade|0|2|2017-11-08T07:16:00||$|B|CNFRBALD|CNFRBALD
140766|2017-10-30T23:30:00|Japan|Unemployment Rate|Unemployment Rate|Sep|2017-09-30T00:00:00|Ministry of Internal Affairs & Communications|https://www.stat.go.jp|2.8%|2.8%|2.8%|2.8%|/japan/unemployment-rate|0|2|2017-10-30T23:30:00|||%|JNUE|JNUE
140515|2017-10-18T23:50:00|Japan|Balance of Trade|Balance of Trade|Sep|2017-09-30T00:00:00|Ministry of Finance, Japan|https://www.mof.go.jp/english/index.htm|¥670B|¥112.6B|¥559.8B|¥525B|/japan/balance-of-trade|0|3|2017-10-27T06:21:00|¥113B|¥|B|JNTBAL|JNTBAL
140074|2017-10-13T02:30:00|China|Balance of Trade|Balance of Trade|Sep|2017-09-30T00:00:00|General Administration of Customs|http://www.customs.gov.cn/|$28.47B|$41.99B|$39.5B|$40B|/china/balance-of-trade|0|2|2017-10-13T05:02:00||$|B|CNFRBALD|CNFRBALD
139202|2017-09-28T23:30:00|Japan|Unemployment Rate|Unemployment Rate|Aug|2017-08-31T00:00:00|Ministry of Internal Affairs & Communications|https://www.stat.go.jp|2.8%|2.8%|2.8%|2.8%|/japan/unemployment-rate|0|2|2017-10-06T12:20:00|||%|JNUE|JNUE
